timestamps,labels,rewards,actions
0.007763,0,0,0
0.121364,0,0,1
0.216997,0,0,1
0.309919,0,0,0
0.411466,0,0,0
0.510336,0,0,0
0.609780,0,0,0
0.707622,0,0,0
0.805524,0,0,0
0.902419,0,0,0
0.995618,0,0,0
1.092612,0,0,0
1.191636,0,0,0
1.288195,0,0,1
1.382014,0,0,0
1.480510,0,0,0
1.578826,0,0,0
1.674149,0,0,0
1.774139,0,0,0
1.871622,0,0,0
1.968232,0,0,0
2.064270,0,0,0
2.160680,0,0,0
2.259530,0,0,0
2.357496,0,0,0
2.454705,0,0,0
2.552026,0,0,0
2.653139,0,0,1
2.746890,0,0,0
2.843085,0,0,0
2.942380,0,0,1
3.039664,0,0,1
3.136664,1,1,0
3.232258,1,0,0
3.323979,1,0,0
3.420501,1,0,0
3.520015,1,0,0
3.624291,1,0,0
3.728190,1,0,0
3.831151,1,0,0
3.928421,1,0,0
4.023474,1,0,0
4.122883,1,0,0
4.220902,0,0,0
4.325646,0,0,0
4.424923,0,0,1
4.521581,0,0,1
4.615509,0,0,0
4.716631,0,0,0
4.812606,0,0,0
4.910655,0,0,1
5.008198,0,0,1
5.104076,0,0,1
5.197290,0,0,0
5.295027,0,0,0
5.395880,0,0,0
5.495687,0,0,0
5.592590,0,0,0
5.691526,0,0,1
5.787106,0,0,1
5.881877,0,0,1
5.978544,0,0,1
6.077917,0,0,0
6.177705,0,0,1
6.275068,0,0,0
6.374317,0,0,0
6.471868,0,0,0
6.569707,0,0,1
6.665306,0,0,0
6.761807,0,0,0
6.858641,0,0,0
6.956866,0,0,0
7.054156,0,0,0
7.148492,0,0,0
7.244558,0,0,1
7.342690,0,0,0
7.441571,0,0,0
7.539699,0,0,0
7.636013,0,0,0
7.728201,0,0,0
7.827234,0,0,0
7.924993,0,0,0
8.023394,0,0,1
8.119768,0,0,1
8.216057,0,0,1
8.312625,0,0,1
8.409772,0,0,1
8.508119,0,0,0
8.607841,0,0,0
8.704441,0,0,0
8.797550,0,0,0
8.894416,0,0,0
8.991335,0,0,0
9.092975,0,0,0
9.191358,0,0,0
9.288131,0,0,0
9.381607,0,0,0
9.479008,0,0,0
9.578568,0,0,0
9.677220,0,0,0
9.775467,0,0,0
9.874943,0,0,0
9.971345,0,0,0
10.064670,0,0,0
10.161650,0,0,0
10.259283,0,0,0
10.358284,0,0,0
10.456099,0,0,0
10.555291,0,0,1
10.653286,0,0,1
10.746686,0,0,0
10.843335,0,0,0
10.942316,0,0,0
11.037975,0,0,1
11.132624,0,0,0
11.228778,0,0,0
11.325735,0,0,0
11.424716,0,0,0
11.520731,0,0,1
11.614265,0,0,0
11.713111,0,0,0
11.808852,0,0,0
11.907890,0,0,1
12.005019,0,0,0
12.098006,0,0,1
12.194970,0,0,0
12.291919,0,0,0
12.390014,0,0,0
12.487537,0,0,0
12.583141,0,0,0
12.680607,0,0,0
12.776528,0,0,0
12.877318,0,0,0
12.975830,0,0,0
13.073166,0,0,1
13.171061,0,0,1
13.270265,0,0,1
13.366502,0,0,0
13.470923,0,0,0
13.570462,0,0,0
13.664014,0,0,0
13.760390,0,0,0
13.858247,0,0,0
13.958373,0,0,0
14.054738,0,0,0
14.146995,0,0,0
14.245525,0,0,0
14.343601,0,0,0
14.441874,0,0,0
14.540116,0,0,0
14.635994,0,0,0
14.727906,0,0,1
14.825983,0,0,0
14.923090,0,0,1
15.022996,0,0,1
15.116296,0,0,1
15.212254,0,0,0
15.309526,0,0,0
15.408274,0,0,0
15.505838,0,0,0
15.600068,0,0,0
15.696191,0,0,0
15.792879,0,0,0
15.894429,0,0,0
15.993276,0,0,0
16.089584,1,1,0
16.178480,1,0,0
16.277121,1,0,0
16.373637,1,0,0
16.474359,1,0,0
16.572903,1,0,0
16.678146,1,0,0
16.780200,1,0,0
16.882932,1,0,0
16.979252,1,0,0
17.078726,0,0,0
17.179793,0,0,0
17.280041,0,0,0
17.376580,0,0,0
17.475987,0,0,1
17.573837,0,0,1
17.671064,0,0,0
17.764425,0,0,0
17.861066,0,0,1
17.960512,0,0,0
18.057186,0,0,0
18.154495,0,0,0
18.249035,0,0,0
18.345747,1,1,1
18.439238,1,0,1
18.539064,1,0,1
18.640835,1,0,1
18.740813,1,0,1
18.837517,1,0,1
18.931330,1,0,1
19.033307,1,0,1
19.137813,1,0,1
19.236551,1,0,1
19.332591,0,0,0
19.438511,0,0,0
19.537750,0,0,0
19.633219,0,0,0
19.728898,0,0,1
19.827347,0,0,1
19.926906,0,0,1
20.024573,0,0,1
20.121993,0,0,0
20.216057,0,0,0
20.313990,0,0,0
20.411826,0,0,0
20.508982,0,0,0
20.608719,0,0,0
20.705425,0,0,0
20.798028,0,0,0
20.895623,0,0,1
20.992538,0,0,1
21.090711,0,0,1
21.187254,0,0,1
21.279659,0,0,1
21.377602,0,0,0
21.476303,0,0,0
21.573353,0,0,0
21.671426,0,0,1
21.763871,0,0,0
21.863915,0,0,0
21.961383,0,0,0
22.060374,0,0,0
22.159541,0,0,1
22.257822,0,0,0
22.355455,0,0,0
22.448631,0,0,0
22.545724,0,0,0
22.643708,0,0,0
22.742779,0,0,1
22.840033,0,0,1
22.940037,0,0,1
23.039439,0,0,1
23.135782,0,0,0
23.229328,0,0,0
23.325844,0,0,1
23.428884,0,0,0
23.536763,0,0,0
23.633805,0,0,0
23.730809,0,0,1
23.827364,0,0,1
23.926731,0,0,0
24.023499,0,0,0
24.118774,0,0,0
24.214833,0,0,0
24.310515,0,0,0
24.409108,0,0,1
24.506692,0,0,0
24.600695,0,0,0
24.701102,0,0,0
24.796689,0,0,0
24.894166,0,0,0
24.994659,0,0,0
25.093271,0,0,1
25.191753,0,0,0
25.289007,0,0,0
25.387156,0,0,1
25.481344,0,0,0
25.577978,0,0,1
25.674592,0,0,0
25.775629,0,0,0
25.873606,0,0,1
25.970888,0,0,0
26.064941,0,0,0
26.161987,0,0,1
26.259919,0,0,0
26.357113,1,1,0
26.446645,1,0,0
26.543360,1,0,0
26.640544,1,0,0
26.739952,1,0,0
26.845269,1,0,0
26.941276,1,0,0
27.043682,1,0,0
27.145808,1,0,0
27.242789,1,0,0
27.339333,1,0,0
27.439104,0,0,0
27.540463,0,0,0
27.633712,0,0,1
27.729703,0,0,1
27.825742,0,0,1
27.926049,0,0,1
28.023577,0,0,0
28.118708,0,0,0
28.215152,0,0,0
28.310776,0,0,0
28.410928,0,0,0
28.508197,0,0,1
28.604528,0,0,0
28.700223,0,0,0
28.795659,0,0,0
28.892470,0,0,0
28.992918,0,0,0
29.091607,0,0,0
29.188255,0,0,0
29.281393,0,0,0
29.379230,0,0,0
29.476896,0,0,1
29.577188,0,0,0
29.674497,0,0,0
29.767571,0,0,0
29.864493,0,0,1
29.963458,0,0,0
30.062310,0,0,0
30.161370,0,0,0
30.259826,0,0,0
30.357302,0,0,1
30.454328,0,0,0
30.548492,0,0,0
30.647573,0,0,0
30.745228,0,0,0
30.843685,0,0,0
30.942518,0,0,0
31.041982,0,0,0
31.139742,0,0,0
31.236262,0,0,1
31.331419,0,0,0
31.428853,0,0,0
31.527080,0,0,1
31.622777,0,0,0
31.723912,0,0,1
31.823129,0,0,1
31.925151,0,0,1
32.023321,0,0,1
32.117282,0,0,0
32.213536,0,0,0
32.310443,0,0,0
32.410525,0,0,0
32.507908,0,0,0
32.606311,0,0,1
32.699686,0,0,1
32.798478,0,0,1
32.895700,0,0,1
32.993786,0,0,0
33.092883,0,0,0
33.188535,0,0,0
33.282940,0,0,0
33.379295,0,0,0
33.476540,0,0,0
33.577406,0,0,0
33.676514,0,0,0
33.775107,0,0,0
33.872783,0,0,0
33.967497,0,0,0
34.062823,0,0,0
34.165491,0,0,0
34.264531,0,0,1
34.366954,0,0,0
34.463976,0,0,0
34.564239,0,0,0
34.665632,1,1,0
34.761144,1,0,0
34.857354,1,0,0
34.952587,1,0,0
35.050404,1,0,0
35.144316,1,0,0
35.248639,1,0,0
35.350303,1,0,0
35.452613,1,0,0
35.550761,1,0,0
35.656960,0,0,0
35.757439,0,0,1
35.851276,0,0,1
35.947273,0,0,1
36.045523,0,0,0
36.143554,0,0,1
36.241244,0,0,0
36.339617,0,0,1
36.437836,0,0,1
36.533398,0,0,0
36.631418,0,0,0
36.729556,0,0,1
36.827070,0,0,0
