timestamps,labels,rewards,actions
0.007883,0,0,1
0.107225,0,0,1
0.208505,0,0,1
0.302598,0,0,0
0.408629,0,0,0
0.506239,0,0,0
0.608440,0,0,0
0.706051,0,0,0
0.807807,0,0,0
0.908826,0,0,0
1.006014,0,0,0
1.106676,0,0,1
1.205309,0,0,0
1.302599,0,0,0
1.401912,0,0,1
1.496834,0,0,1
1.594907,0,0,0
1.691720,0,0,1
1.793198,0,0,0
1.889857,0,0,0
1.991964,0,0,0
2.090887,0,0,0
2.193676,0,0,0
2.289928,0,0,0
2.389281,0,0,1
2.485890,0,0,0
2.584940,0,0,1
2.678738,0,0,0
2.775464,0,0,1
2.875137,0,0,1
2.975751,0,0,1
3.074583,0,0,1
3.173204,0,0,1
3.274469,0,0,1
3.373172,0,0,0
3.472933,0,0,0
3.572118,0,0,0
3.670798,0,0,0
3.769740,0,0,0
3.868390,0,0,1
3.962469,0,0,1
4.059092,0,0,1
4.157149,0,0,1
4.257939,0,0,0
4.356715,0,0,1
4.456974,0,0,0
4.556060,0,0,0
4.653684,0,0,0
4.753554,0,0,0
4.851766,0,0,1
4.950575,0,0,1
5.043221,0,0,0
5.140146,0,0,0
5.241680,0,0,0
5.342287,0,0,0
5.439917,0,0,0
5.542179,0,0,0
5.642152,0,0,0
5.741792,0,0,0
5.839973,0,0,0
5.941776,0,0,0
6.039931,0,0,0
6.155235,0,0,0
6.267035,0,0,0
6.380114,0,0,0
6.481388,0,0,0
6.588976,0,0,0
6.687631,0,0,0
6.792515,0,0,0
6.895971,0,0,0
6.990250,0,0,0
7.089303,0,0,0
7.187436,0,0,0
7.287043,0,0,0
7.386411,0,0,0
7.481053,0,0,0
7.579201,0,0,0
7.674551,0,0,0
7.775603,0,0,1
7.873300,0,0,1
7.974855,0,0,0
8.073083,0,0,1
8.174834,0,0,1
8.271070,0,0,0
8.382887,0,0,0
8.481025,0,0,0
8.584185,0,0,1
8.685988,0,0,0
8.796241,0,0,1
8.890744,0,0,0
8.990519,0,0,0
9.090198,0,0,0
9.191355,0,0,0
9.289392,0,0,0
9.390035,0,0,0
9.489821,0,0,0
9.591002,0,0,0
9.690120,0,0,0
9.791184,0,0,1
9.891930,0,0,1
9.994113,0,0,1
10.089566,0,0,0
10.191212,0,0,0
10.289657,0,0,0
10.391307,0,0,0
10.489902,0,0,0
10.591848,0,0,0
10.689846,0,0,0
10.790754,0,0,0
10.905894,0,0,1
11.012549,0,0,0
11.111740,0,0,0
11.208487,0,0,0
11.308831,0,0,0
11.410863,0,0,0
11.507201,0,0,0
11.608100,0,0,0
11.706623,0,0,1
11.808555,0,0,0
11.911001,0,0,1
