labels,F4,F3,Fz,Cz,timestamps
0,-2182.65,-1219.46,-2198.16,-2566.9,-1.9998904559770097
0,-2180.93,-1207.32,-2191.08,-2566.18,-1.994890729837067
0,-2182.09,-1199.06,-2192.68,-2560.03,-1.9898910036971245
0,-2174.22,-1193.26,-2188.77,-2560.79,-1.9848912775571819
0,-2178.43,-1195.69,-2188.22,-2565.3,-1.9798915514172393
0,-2176.54,-1200.84,-2188.27,-2563.39,-1.9748918252772967
0,-2178.62,-1199.64,-2185.58,-2561.2,-1.969892099137354
0,-2180.47,-1197.26,-2190.58,-2563.12,-1.9648923729974115
0,-2179.59,-1191.5,-2190.11,-2562.3,-1.959892646857469
0,-2181.21,-1200.41,-2186.07,-2566.03,-1.9548929207175263
0,-2185.55,-1202.6,-2187.9,-2566.79,-1.9498931945775837
0,-2185.77,-1207.6,-2195.03,-2569.44,-1.944893468437641
0,-2187.07,-1210.1,-2199.47,-2573.02,-1.9398937422976985
0,-2184.88,-1212.12,-2193.55,-2565.16,-1.934894016157756
0,-2187.63,-1211.67,-2199.1,-2570.89,-1.9298942900178133
0,-2175.83,-1190.87,-2176.47,-2555.34,-1.9248945638778707
0,-2172.89,-1193.58,-2184.9,-2563.42,-1.9198948377379281
0,-2184.62,-1198.69,-2192.77,-2560.62,-1.9148951115979855
0,-2179.4,-1191.49,-2187.13,-2568.82,-1.909895385458043
0,-2171.79,-1196.86,-2185.69,-2554.83,-1.9048956593181003
0,-2182.59,-1205.38,-2191.26,-2568.31,-1.8998959331781577
0,-2178.04,-1204.94,-2182.49,-2558.96,-1.8948962070382152
0,-2174.46,-1206.75,-2192.3,-2561.66,-1.8898964808982726
0,-2171.22,-1203.2,-2190.48,-2558.93,-1.88489675475833
0,-2176.33,-1202.44,-2191.82,-2561.56,-1.8798970286183874
0,-2183.42,-1207.08,-2196.58,-2562.09,-1.8748973024784448
0,-2175.51,-1202.27,-2185.26,-2556.4,-1.8698975763385022
0,-2177.7,-1200.59,-2185.93,-2560.35,-1.8648978501985596
0,-2171.43,-1201.41,-2185.71,-2555.88,-1.859898124058617
0,-2175.46,-1197.6,-2183.8,-2558.95,-1.8548983979186744
0,-2176.28,-1199.23,-2187.47,-2557.1,-1.8498986717787318
0,-2184.95,-1197.41,-2189.69,-2561.19,-1.8448989456387928
0,-2182.81,-1199.71,-2195.2,-2563.19,-1.8398992194988502
0,-2179.5,-1208.09,-2193.11,-2562.94,-1.8348994933589076
0,-2181.11,-1203.72,-2187.29,-2565.82,-1.829899767218965
0,-2185.43,-1206.07,-2203.84,-2570.72,-1.8249000410790224
0,-2192.39,-1216.36,-2204.96,-2576.51,-1.8199003149390798
0,-2191.95,-1223.27,-2209.14,-2574.94,-1.8149005887991372
0,-2191.95,-1222.61,-2210.47,-2575.91,-1.8099008626591946
0,-2191.79,-1218.85,-2205.72,-2579.33,-1.804901136519252
0,-2188.39,-1211.11,-2197.36,-2569.68,-1.7999014103793094
0,-2184.99,-1217.67,-2197.9,-2563.87,-1.7949016842393668
0,-2178.2,-1206.04,-2196.84,-2568.0,-1.7899019580994242
0,-2176.21,-1202.82,-2197.02,-2567.67,-1.7849022319594816
0,-2184.76,-1200.26,-2194.72,-2563.18,-1.779902505819539
0,-2175.7,-1199.12,-2191.25,-2561.98,-1.7749027796795964
0,-2173.51,-1194.46,-2187.14,-2559.7,-1.7699030535396538
0,-2178.9,-1195.22,-2188.02,-2557.64,-1.7649033273997112
0,-2172.3,-1203.88,-2187.31,-2564.96,-1.7599036012597686
0,-2182.61,-1203.86,-2193.25,-2563.75,-1.754903875119826
0,-2191.43,-1208.87,-2201.82,-2572.98,-1.7499041489798834
0,-2186.86,-1199.36,-2196.77,-2569.28,-1.7449044228399408
0,-2182.95,-1203.7,-2200.55,-2565.73,-1.7399046966999983
0,-2180.09,-1212.79,-2194.59,-2563.76,-1.7349049705600557
0,-2185.26,-1207.99,-2201.42,-2574.31,-1.729905244420113
0,-2185.66,-1205.29,-2195.77,-2570.3,-1.7249055182801705
0,-2176.52,-1194.89,-2191.42,-2562.14,-1.7199057921402279
0,-2184.77,-1208.69,-2197.36,-2568.82,-1.7149060660002853
0,-2187.64,-1203.85,-2195.02,-2564.78,-1.7099063398603427
0,-2182.74,-1209.99,-2189.19,-2562.44,-1.7049066137204
0,-2186.54,-1205.4,-2199.28,-2564.59,-1.6999068875804575
0,-2182.99,-1212.65,-2196.56,-2563.2,-1.694907161440515
0,-2177.19,-1197.51,-2188.54,-2556.49,-1.6899074353005723
0,-2180.0,-1206.57,-2191.63,-2565.0,-1.6849077091606297
0,-2180.69,-1204.16,-2193.78,-2560.72,-1.6799079830206871
0,-2178.74,-1200.1,-2192.1,-2564.21,-1.6749082568807445
0,-2178.5,-1208.12,-2188.9,-2564.13,-1.669908530740802
0,-2175.13,-1205.19,-2189.48,-2565.45,-1.6649088046008593
0,-2179.04,-1206.34,-2193.99,-2569.2,-1.6599090784609167
0,-2174.39,-1203.81,-2189.68,-2556.36,-1.6549093523209741
0,-2177.19,-1206.5,-2193.83,-2560.47,-1.6499096261810315
0,-2178.9,-1202.03,-2196.68,-2559.65,-1.644909900041089
0,-2175.24,-1193.68,-2193.53,-2564.96,-1.6399101739011464
0,-2171.72,-1202.95,-2185.93,-2559.05,-1.6349104477612038
0,-2173.16,-1192.91,-2183.35,-2555.67,-1.6299107216212612
0,-2162.65,-1182.92,-2174.39,-2556.83,-1.6249109954813186
0,-2172.24,-1187.53,-2180.47,-2557.64,-1.619911269341376
0,-2181.38,-1201.73,-2185.12,-2565.0,-1.6149115432014334
0,-2176.33,-1200.78,-2186.28,-2558.51,-1.6099118170614908
0,-2180.7,-1199.61,-2192.02,-2563.35,-1.6049120909215517
0,-2187.81,-1210.09,-2197.4,-2570.84,-1.5999123647816091
0,-2189.45,-1208.99,-2194.23,-2567.22,-1.5949126386416665
0,-2188.73,-1209.75,-2197.23,-2570.97,-1.589912912501724
0,-2187.22,-1202.76,-2200.24,-2574.41,-1.5849131863617814
0,-2189.67,-1209.24,-2197.27,-2573.5,-1.5799134602218388
0,-2186.11,-1199.39,-2196.55,-2564.08,-1.5749137340818962
0,-2178.88,-1208.62,-2196.57,-2566.79,-1.5699140079419536
0,-2184.64,-1213.77,-2197.11,-2565.4,-1.564914281802011
0,-2178.49,-1206.68,-2197.66,-2562.37,-1.5599145556620684
0,-2183.15,-1206.29,-2199.02,-2561.12,-1.5549148295221258
0,-2184.45,-1212.94,-2195.48,-2565.08,-1.5499151033821832
0,-2185.77,-1208.61,-2199.83,-2569.58,-1.5449153772422406
0,-2177.56,-1206.66,-2189.72,-2563.79,-1.539915651102298
0,-2176.68,-1198.94,-2188.26,-2559.4,-1.5349159249623554
0,-2179.48,-1195.65,-2185.66,-2553.71,-1.5299161988224128
0,-2182.48,-1192.41,-2189.94,-2560.41,-1.5249164726824702
0,-2174.31,-1205.22,-2190.37,-2558.19,-1.5199167465425276
0,-2184.49,-1207.08,-2195.51,-2565.16,-1.514917020402585
0,-2188.37,-1211.72,-2200.23,-2569.67,-1.5099172942626424
0,-2188.09,-1203.68,-2201.96,-2571.63,-1.5049175681226998
0,-2183.92,-1203.57,-2198.87,-2568.23,-1.4999178419827572
0,-2180.79,-1202.55,-2195.98,-2558.73,-1.4949181158428146
0,-2182.72,-1206.62,-2191.82,-2566.72,-1.489918389702872
0,-2180.88,-1204.86,-2196.63,-2563.53,-1.4849186635629295
0,-2178.5,-1205.66,-2191.9,-2566.94,-1.4799189374229869
0,-2184.89,-1206.13,-2195.64,-2564.22,-1.4749192112830443
0,-2169.74,-1187.33,-2185.76,-2553.3,-1.4699194851431017
0,-2174.94,-1199.35,-2187.53,-2557.03,-1.464919759003159
0,-2175.01,-1210.4,-2191.24,-2559.8,-1.4599200328632165
0,-2186.68,-1203.79,-2189.92,-2564.42,-1.4549203067232739
0,-2187.17,-1200.75,-2188.92,-2567.25,-1.4499205805833313
0,-2188.8,-1208.49,-2197.07,-2567.89,-1.4449208544433887
0,-2186.41,-1205.06,-2198.6,-2572.07,-1.439921128303446
0,-2186.96,-1208.99,-2200.35,-2572.02,-1.4349214021635035
0,-2189.05,-1215.16,-2197.37,-2567.93,-1.429921676023561
0,-2192.12,-1219.37,-2206.68,-2571.49,-1.4249219498836183
0,-2187.13,-1207.61,-2202.62,-2569.06,-1.4199222237436757
0,-2191.48,-1192.93,-2197.79,-2567.95,-1.4149224976037331
0,-2184.1,-1200.29,-2191.22,-2559.6,-1.4099227714637905
0,-2182.91,-1210.72,-2191.24,-2554.87,-1.404923045323848
0,-2195.08,-1220.06,-2201.91,-2568.8,-1.3999233191839053
0,-2182.77,-1207.74,-2197.4,-2572.95,-1.3949235930439627
0,-2179.22,-1217.67,-2197.81,-2572.88,-1.3899238669040201
0,-2190.04,-1210.53,-2198.82,-2573.56,-1.3849241407640775
0,-2184.6,-1206.18,-2194.25,-2572.92,-1.379924414624135
0,-2181.95,-1199.21,-2191.77,-2566.0,-1.3749246884841924
0,-2180.34,-1193.35,-2190.3,-2567.21,-1.3699249623442533
0,-2185.77,-1208.38,-2200.67,-2575.77,-1.3649252362043107
0,-2188.51,-1213.58,-2204.45,-2573.93,-1.3599255100643681
0,-2188.56,-1215.4,-2198.16,-2575.05,-1.3549257839244255
0,-2186.92,-1216.38,-2202.12,-2572.27,-1.349926057784483
0,-2182.07,-1217.93,-2203.32,-2567.01,-1.3449263316445403
0,-2187.38,-1208.24,-2199.64,-2575.4,-1.3399266055045977
0,-2183.32,-1199.96,-2194.73,-2566.65,-1.3349268793646552
0,-2188.28,-1211.35,-2195.39,-2569.39,-1.3299271532247126
0,-2187.91,-1213.99,-2202.42,-2575.32,-1.32492742708477
0,-2185.57,-1211.33,-2202.64,-2573.51,-1.3199277009448274
0,-2189.25,-1198.27,-2193.35,-2570.43,-1.3149279748048848
0,-2188.26,-1201.42,-2195.7,-2573.04,-1.3099282486649422
0,-2185.24,-1213.04,-2202.81,-2572.2,-1.3049285225249996
0,-2185.26,-1208.23,-2196.92,-2570.15,-1.299928796385057
0,-2189.02,-1204.66,-2198.57,-2569.11,-1.2949290702451144
0,-2184.97,-1202.6,-2193.0,-2565.86,-1.2899293441051718
0,-2180.43,-1212.41,-2195.44,-2562.7,-1.2849296179652292
