timestamps,labels,rewards,actions
0.018258,0,0,1
0.114184,0,0,1
0.209840,0,0,0
0.305035,0,0,0
0.410060,0,0,1
0.508985,0,0,0
0.604903,0,0,0
0.710207,0,0,0
0.807352,0,0,0
0.904055,0,0,0
1.003597,0,0,0
1.104254,0,0,0
1.202293,0,0,0
1.304920,0,0,0
1.401683,0,0,0
1.500936,0,0,0
1.599557,0,0,0
1.699589,0,0,0
1.797681,0,0,0
1.890747,0,0,0
1.986752,0,0,1
2.087489,0,0,0
2.185817,0,0,0
2.285135,0,0,1
2.383627,0,0,1
2.484655,1,1,0
2.574923,1,0,0
2.678186,1,0,0
2.772679,1,0,0
2.880001,1,0,0
2.985979,1,0,0
3.082755,1,0,0
3.177809,1,0,0
3.279272,1,0,0
3.383064,1,0,0
3.483956,0,0,0
3.588242,0,0,0
3.698586,0,0,1
3.797291,0,0,0
3.900156,0,0,0
3.994450,0,0,0
4.092154,0,0,1
4.188341,0,0,0
4.285846,0,0,0
4.385795,0,0,0
4.482667,0,0,1
4.582940,0,0,1
4.676394,0,0,1
4.775876,0,0,1
4.871126,0,0,0
4.970854,0,0,0
5.068825,0,0,1
5.166000,0,0,0
5.267315,0,0,0
5.364709,0,0,0
5.465756,0,0,0
5.559521,0,0,1
5.658731,0,0,1
5.756561,0,0,0
5.857916,0,0,1
5.958653,0,0,1
6.059939,0,0,0
6.156235,0,0,0
6.255360,0,0,0
6.352181,0,0,0
6.451717,0,0,0
6.550632,0,0,0
6.647585,0,0,0
6.749540,0,0,1
6.847523,0,0,1
6.948356,0,0,1
7.041292,0,0,1
7.158244,0,0,0
7.257129,0,0,1
7.356144,0,0,0
7.454542,0,0,1
7.552507,0,0,0
7.654382,0,0,0
7.752198,0,0,0
7.852177,0,0,0
7.949071,0,0,0
8.043402,0,0,0
8.146197,0,0,1
8.250199,0,0,0
8.352607,0,0,0
8.454382,0,0,1
8.552009,0,0,0
8.650501,0,0,1
8.743390,0,0,1
8.841593,0,0,1
8.937423,0,0,1
9.038976,0,0,1
9.140214,0,0,1
9.237916,0,0,0
9.338011,0,0,0
9.436159,0,0,0
9.533468,0,0,0
9.626814,0,0,0
9.724697,0,0,0
9.821833,0,0,1
9.919313,0,0,0
10.019174,0,0,1
10.116994,0,0,0
10.216963,0,0,1
10.315680,0,0,0
10.409149,0,0,0
10.506747,0,0,1
10.605809,0,0,1
10.704644,0,0,0
10.803033,0,0,0
10.905496,0,0,1
11.002748,0,0,0
11.105951,0,0,0
11.202804,0,0,0
11.304481,0,0,0
11.402911,0,0,0
11.502974,0,0,0
11.599476,0,0,0
11.704757,0,0,0
11.801282,0,0,0
11.908336,0,0,0
12.005894,0,0,0
12.102901,0,0,0
12.205288,0,0,0
12.305316,0,0,0
12.405625,0,0,0
12.503315,0,0,1
12.602578,0,0,0
12.698782,0,0,0
12.792106,0,0,0
12.890744,0,0,1
12.989057,0,0,0
13.097885,0,0,1
13.198490,0,0,0
13.302587,0,0,0
13.412638,0,0,1
13.518323,0,0,0
13.618548,0,0,1
13.717415,0,0,1
13.814444,0,0,0
13.910101,0,0,0
14.006040,0,0,0
14.105830,0,0,0
14.202601,0,0,0
14.305323,0,0,0
14.405247,0,0,1
14.504571,0,0,1
14.603265,0,0,0
14.704430,0,0,0
14.802585,0,0,0
14.903027,0,0,0
14.998479,0,0,1
15.092579,0,0,0
15.205190,0,0,0
15.305677,0,0,1
15.403424,0,0,0
15.501019,0,0,0
15.598674,0,0,1
15.698630,0,0,1
15.791654,0,0,0
15.887981,0,0,0
15.988315,1,1,0
16.084282,1,0,0
16.177687,1,0,0
16.274954,1,0,0
16.380041,1,0,0
16.474698,1,0,0
16.576397,1,0,0
16.680724,1,0,0
16.784080,1,0,0
16.887992,1,0,0
16.992918,0,0,0
17.096546,0,0,0
17.191697,0,0,0
17.289231,0,0,0
17.387821,0,0,0
17.486505,0,0,0
17.586024,0,0,0
17.685457,0,0,0
17.784266,0,0,0
17.877162,0,0,0
17.983203,0,0,0
18.077407,0,0,1
18.182959,0,0,0
18.277563,0,0,1
18.380900,0,0,1
18.474401,0,0,0
18.573183,0,0,0
18.669748,0,0,0
18.769151,0,0,1
18.867950,0,0,1
18.967383,0,0,0
19.063343,0,0,0
19.160270,0,0,0
19.261885,0,0,1
19.357150,0,0,1
19.455055,0,0,0
19.556209,0,0,0
19.654166,0,0,0
