timestamps,labels,rewards,actions
0.008923,0,0,1
0.121523,0,0,1
0.230491,0,0,1
0.325382,0,0,0
0.428056,0,0,0
0.525445,0,0,0
0.619795,0,0,0
0.714410,0,0,0
0.812383,0,0,0
0.910383,0,0,0
1.007614,0,0,0
1.103689,0,0,1
1.200756,0,0,0
1.297000,0,0,0
1.396161,0,0,1
1.492959,0,0,1
1.584909,0,0,0
1.682780,0,0,0
1.781781,0,0,0
1.880100,0,0,0
1.976689,0,0,0
2.069584,0,0,1
2.167418,0,0,0
2.264239,0,0,0
2.362085,0,0,0
2.459607,0,0,1
2.552503,0,0,1
2.649246,0,0,1
2.746978,0,0,1
2.845842,0,0,1
2.943511,0,0,1
3.037236,0,0,1
3.135440,0,0,1
3.231287,0,0,1
3.329913,0,0,0
3.430051,0,0,0
3.527915,0,0,0
3.624093,0,0,0
3.717956,0,0,0
3.816095,0,0,1
3.914101,0,0,1
4.012066,0,0,1
4.110614,0,0,0
4.209845,0,0,0
4.308628,0,0,0
4.403241,0,0,0
4.498232,0,0,1
4.596719,0,0,0
4.694247,0,0,0
4.793577,0,0,1
4.891567,0,0,1
4.984632,0,0,0
5.083354,0,0,0
5.182246,0,0,0
5.281152,0,0,0
5.379648,0,0,0
5.476387,0,0,0
5.585459,0,0,0
5.681902,0,0,0
5.779252,0,0,0
5.880020,0,0,0
5.980300,0,0,0
6.080368,0,0,0
6.176471,0,0,0
6.276083,0,0,0
6.369440,0,0,0
6.482695,0,0,0
6.587910,0,0,0
6.690228,0,0,0
6.786450,0,0,0
6.881192,0,0,0
6.979713,0,0,0
7.077364,0,0,0
7.170687,0,0,0
7.267264,0,0,0
7.363864,0,0,1
7.462420,0,0,0
7.559441,0,0,0
7.652967,0,0,0
7.750823,0,0,0
7.847298,0,0,0
7.946295,0,0,0
8.043404,0,0,0
8.136747,0,0,1
8.231733,0,0,0
8.332074,0,0,0
8.429106,0,0,1
8.528719,0,0,1
8.625456,0,0,0
8.718701,0,0,0
8.820512,0,0,0
8.915846,0,0,0
9.016297,0,0,1
9.113484,0,0,1
9.212730,0,0,0
9.311312,0,0,0
9.409004,0,0,1
9.507277,0,0,1
9.601354,0,0,0
9.701119,0,0,0
9.797382,0,0,0
9.895945,0,0,1
9.993754,0,0,1
10.086852,0,0,0
10.183035,0,0,0
10.281237,0,0,0
10.379578,0,0,0
10.480035,0,0,0
10.575376,0,0,0
10.667873,0,0,0
10.767463,0,0,0
10.864020,0,0,1
10.964037,0,0,0
11.061924,0,0,0
11.158980,0,0,0
11.254804,0,0,0
11.349012,0,0,0
11.447281,0,0,0
11.545282,0,0,0
11.641654,0,0,0
11.737579,0,0,0
11.832229,0,0,1
11.930100,0,0,1
12.028010,0,0,1
12.136066,0,0,1
12.249491,0,0,0
12.347679,0,0,0
12.447221,0,0,0
12.545575,0,0,0
12.642107,0,0,0
12.737260,0,0,0
12.832564,0,0,0
12.929757,0,0,0
13.027205,0,0,0
13.125165,0,0,0
13.220127,0,0,1
13.315372,0,0,0
13.412308,0,0,1
13.510206,0,0,0
13.605984,0,0,0
13.700476,0,0,0
13.796038,0,0,0
13.896415,0,0,0
13.993790,0,0,1
14.086589,0,0,1
14.184234,0,0,1
14.280561,0,0,1
14.378905,0,0,0
14.476325,0,0,0
14.569688,0,0,0
14.667133,0,0,0
14.765245,0,0,0
14.863435,0,0,0
14.961527,0,0,0
15.057803,0,0,0
15.154181,0,0,1
15.251347,0,0,0
15.349709,1,1,1
15.444257,1,0,1
15.537999,1,0,1
15.634327,1,0,1
15.732476,1,0,1
15.826668,1,0,1
15.924980,1,0,1
16.018970,1,0,1
16.116691,1,0,1
16.212976,1,0,1
16.310665,0,0,0
16.420019,0,0,0
16.521084,0,0,0
16.616180,0,0,0
16.717152,0,0,0
16.815480,0,0,0
16.917260,0,0,0
17.014830,0,0,0
17.113350,0,0,1
17.210485,0,0,0
17.303060,0,0,0
17.400131,0,0,0
17.497427,0,0,0
17.599925,0,0,0
17.695810,0,0,0
17.795964,0,0,0
17.892701,0,0,0
17.987892,0,0,0
18.083690,0,0,0
18.181585,0,0,0
18.281383,0,0,0
18.379405,0,0,0
18.477492,0,0,0
18.571379,0,0,0
18.667791,0,0,0
18.766374,0,0,0
18.865488,0,0,0
18.963627,0,0,0
19.061932,0,0,0
19.157823,0,0,1
19.251779,0,0,0
19.350693,0,0,1
19.447736,0,0,0
19.546199,0,0,0
19.645112,0,0,1
19.743334,0,0,1
19.840706,0,0,0
19.935246,0,0,1
20.033188,0,0,1
20.129870,0,0,0
20.227641,0,0,0
20.321649,0,0,0
20.416511,0,0,0
20.514271,0,0,0
20.613202,0,0,0
20.710876,0,0,0
20.808512,0,0,0
20.905156,0,0,1
20.999642,0,0,0
21.097404,0,0,0
