timestamps,labels,rewards,actions
0.014121,0,0,1
0.110156,0,0,1
0.202859,0,0,0
0.300712,0,0,0
0.400004,0,0,1
0.499655,0,0,0
0.596388,0,0,0
0.688764,0,0,0
0.786788,0,0,0
0.883976,0,0,0
0.982316,0,0,0
1.074702,0,0,0
1.178913,0,0,0
1.274277,0,0,0
1.369377,0,0,0
1.467450,0,0,0
1.570411,0,0,0
1.668701,0,0,0
1.768329,0,0,0
1.869792,0,0,0
1.970072,0,0,1
2.069977,0,0,1
2.169988,0,0,0
2.270578,0,0,0
2.367051,0,0,0
2.468561,0,0,0
2.564926,0,0,1
2.658909,0,0,0
2.756903,0,0,1
2.854763,0,0,0
2.951683,0,0,0
3.052157,0,0,1
3.150907,0,0,0
3.248517,0,0,1
3.346891,0,0,0
3.441833,0,0,0
3.537396,0,0,0
3.640954,0,0,0
3.738803,0,0,1
3.837187,0,0,1
3.935539,0,0,0
4.034067,0,0,0
4.131379,0,0,0
4.224438,0,0,0
4.320830,0,0,0
4.418432,0,0,1
4.517847,0,0,1
4.620664,0,0,1
4.720027,0,0,0
4.819567,0,0,0
4.916158,0,0,0
5.013170,0,0,0
5.106521,0,0,0
5.203176,0,0,0
5.303084,0,0,0
5.401094,0,0,0
5.498625,0,0,0
5.592110,0,0,0
5.687933,0,0,0
5.788284,0,0,0
5.886644,0,0,0
5.984374,0,0,0
6.083614,0,0,0
6.181774,0,0,0
6.279429,0,0,0
6.372514,0,0,1
6.468817,0,0,0
6.568447,0,0,0
6.666579,0,0,0
6.763882,0,0,1
6.857253,0,0,0
6.953350,0,0,0
7.051613,0,0,0
7.147987,0,0,0
7.241652,0,0,1
7.337719,0,0,0
7.434891,0,0,0
7.532947,0,0,1
7.629270,0,0,0
7.722127,0,0,1
7.819484,0,0,0
7.918426,0,0,0
8.015073,0,0,0
8.110571,0,0,0
8.206102,0,0,1
8.301863,0,0,0
8.400631,0,0,0
8.497703,0,0,0
8.596009,0,0,0
8.691568,0,0,0
8.787363,0,0,0
8.887126,0,0,0
8.986897,0,0,1
9.087036,0,0,0
9.187308,0,0,0
9.284883,0,0,0
9.383684,0,0,0
9.479705,0,0,0
9.574009,0,0,1
9.670386,0,0,1
9.767960,0,0,0
9.866943,0,0,1
9.965200,0,0,0
10.065558,0,0,0
10.161186,0,0,1
10.256032,0,0,0
10.353323,0,0,0
10.453564,0,0,0
10.552174,0,0,0
10.648935,0,0,1
10.746953,0,0,1
10.841242,0,0,1
10.940062,0,0,0
11.036496,0,0,0
11.134621,0,0,0
11.232568,0,0,0
11.328726,0,0,0
11.425324,0,0,1
11.522373,0,0,0
11.617964,0,0,0
11.717409,0,0,0
11.812793,0,0,0
11.907817,0,0,0
12.008713,0,0,0
12.103586,0,0,0
12.203956,0,0,1
12.304589,0,0,0
12.403667,0,0,1
12.501538,0,0,1
12.597112,0,0,1
12.691949,0,0,0
12.787831,0,0,0
12.884500,0,0,1
12.983516,0,0,0
13.082522,0,0,0
13.183932,0,0,0
13.281433,0,0,0
13.376332,0,0,0
13.474621,0,0,1
13.569332,0,0,1
13.668829,0,0,1
13.765263,0,0,1
13.861969,0,0,1
13.959167,0,0,0
14.053363,0,0,0
14.154451,0,0,1
14.253544,0,0,0
14.351554,0,0,0
14.449920,0,0,0
14.547175,0,0,0
14.640914,0,0,0
14.737792,0,0,0
14.837150,0,0,1
14.935862,0,0,1
15.035244,0,0,0
15.131472,0,0,0
15.225297,0,0,0
15.322558,0,0,1
15.419424,0,0,0
15.519754,0,0,0
15.620957,0,0,0
15.720945,0,0,0
15.821174,0,0,0
15.918905,0,0,0
16.018826,0,0,0
16.115788,0,0,0
16.214372,0,0,0
16.309034,0,0,0
16.405312,0,0,0
16.503867,0,0,1
16.601650,0,0,1
16.698618,0,0,0
16.792407,0,0,1
16.888959,0,0,1
16.986635,0,0,0
17.085063,0,0,0
17.181955,0,0,0
17.276031,0,0,0
17.370692,0,0,0
17.468697,0,0,1
17.567977,0,0,1
17.664629,0,0,0
17.763896,0,0,0
17.858161,0,0,1
17.955381,0,0,1
18.056523,0,0,1
18.154607,0,0,0
18.252835,0,0,1
18.350354,0,0,1
18.448445,0,0,1
18.541342,0,0,1
18.638086,0,0,1
18.738500,0,0,0
18.836335,0,0,0
18.936194,0,0,0
19.033340,0,0,0
19.132300,0,0,1
19.232422,0,0,1
19.331540,0,0,1
19.426336,0,0,0
19.524141,1,1,0
19.615102,1,0,0
19.709477,1,0,0
19.816670,1,0,0
19.918209,1,0,0
20.017941,1,0,0
20.112941,1,0,0
20.208157,1,0,0
20.306279,1,0,0
20.400097,1,0,0
20.496743,0,0,0
20.599239,0,0,1
20.698414,0,0,0
20.795330,0,0,0
20.891686,0,0,0
20.990015,0,0,0
21.086182,0,0,0
21.185594,0,0,1
21.282210,0,0,1
21.374705,0,0,0
21.472620,0,0,1
21.570253,0,0,0
21.668341,0,0,0
21.767648,0,0,0
21.867156,0,0,0
21.966337,0,0,1
22.065539,0,0,0
22.162224,0,0,0
22.255754,0,0,0
22.352447,0,0,0
22.470140,0,0,0
22.566433,0,0,0
22.662931,0,0,1
22.760307,0,0,0
22.855127,0,0,0
22.951661,0,0,0
23.051896,0,0,0
23.147875,0,0,0
23.247146,0,0,1
23.341820,0,0,0
23.439702,0,0,0
23.535969,0,0,0
23.634209,0,0,1
23.731298,0,0,0
23.824212,0,0,0
23.924553,0,0,1
24.022242,0,0,0
24.119417,0,0,0
24.217022,1,1,1
24.305958,1,0,1
24.404770,1,0,1
24.498700,1,0,1
24.596708,1,0,1
24.690588,1,0,1
24.789204,1,0,1
24.887269,1,0,1
24.983621,1,0,1
25.082606,1,0,1
25.178753,1,0,1
25.273847,0,0,0
25.374275,0,0,1
25.471771,0,0,0
25.574371,0,0,0
25.672961,0,0,0
25.778827,0,0,0
25.877670,0,0,0
25.972679,0,0,0
26.069178,0,0,0
26.169134,0,0,0
26.265367,0,0,1
26.364659,0,0,1
26.463528,0,0,0
26.558224,0,0,0
26.655288,0,0,0
26.752374,0,0,0
26.849368,0,0,1
26.947268,0,0,0
27.041746,0,0,0
27.138533,0,0,1
27.236985,0,0,1
27.336569,0,0,0
27.433550,0,0,0
27.532593,0,0,1
27.627294,0,0,1
27.722188,0,0,0
27.819004,0,0,0
27.920673,0,0,0
28.019069,0,0,0
28.116861,0,0,0
28.213946,0,0,0
28.308270,0,0,0
28.405867,0,0,0
28.502925,0,0,0
28.602181,0,0,1
28.697920,0,0,0
28.792109,0,0,0
28.889555,0,0,0
28.988177,0,0,0
29.090505,0,0,0
29.187365,0,0,0
29.286376,0,0,1
29.383138,0,0,0
29.480507,0,0,1
29.573811,0,0,0
29.670851,0,0,0
29.770565,0,0,0
29.866707,0,0,0
29.965766,0,0,0
30.065286,0,0,1
30.159705,0,0,0
30.255461,0,0,1
30.352841,0,0,0
30.451097,0,0,0
30.551281,0,0,0
30.647541,0,0,0
30.741506,0,0,0
30.838736,0,0,0
30.935847,0,0,0
31.035356,0,0,1
31.132440,0,0,1
31.232412,0,0,1
31.326769,0,0,1
31.422700,0,0,0
31.522552,0,0,0
31.621667,0,0,0
31.720024,0,0,1
