timestamps,labels,rewards,actions
0.009474,0,0,1
0.109077,0,0,1
0.206917,0,0,0
0.303841,0,0,0
0.405311,0,0,1
0.499831,0,0,0
0.596597,0,0,0
0.698378,0,0,0
0.797639,0,0,0
0.898312,0,0,0
0.996172,0,0,0
1.094819,0,0,0
1.191701,0,0,0
1.292164,0,0,0
1.390863,0,0,0
1.490741,0,0,0
1.589748,0,0,0
1.687395,0,0,0
1.782176,0,0,0
1.877752,0,0,0
1.976423,0,0,0
2.075393,0,0,1
2.171426,0,0,0
2.266606,0,0,1
2.361848,0,0,0
2.461421,0,0,0
2.559855,0,0,0
2.658791,0,0,0
2.755838,0,0,0
2.850122,0,0,1
2.946154,0,0,0
3.045276,0,0,0
3.143349,0,0,0
3.242493,0,0,0
3.340979,0,0,0
3.439933,0,0,0
3.539335,0,0,0
3.637874,0,0,0
3.736568,0,0,0
3.831783,0,0,0
3.930763,0,0,1
4.028556,0,0,1
4.126509,0,0,1
4.223178,1,1,0
4.333180,1,0,0
4.434228,1,0,0
4.533990,1,0,0
4.634320,1,0,0
4.733863,1,0,0
4.836624,1,0,0
4.935908,1,0,0
5.033368,1,0,0
5.132043,1,0,0
5.227920,1,0,0
5.330951,0,0,0
5.429979,0,0,0
5.527460,0,0,0
5.626031,0,0,1
5.723451,0,0,1
5.821001,0,0,1
5.914897,0,0,1
6.012563,0,0,0
6.108898,0,0,0
6.210057,0,0,0
6.306839,0,0,0
6.400460,0,0,1
6.498512,0,0,0
6.593855,0,0,0
6.692752,0,0,0
6.789222,0,0,0
6.882843,0,0,0
6.978107,0,0,0
7.075747,0,0,0
7.175668,0,0,0
7.272085,0,0,0
7.365850,0,0,0
7.462104,0,0,0
7.560577,0,0,0
7.658107,0,0,0
7.756076,0,0,0
7.851737,0,0,0
7.945665,0,0,0
8.043158,0,0,0
8.142338,0,0,0
8.239624,0,0,0
8.336946,0,0,0
8.434063,0,0,0
8.531620,1,1,0
8.623226,1,0,0
8.721463,1,0,0
8.813978,1,0,0
8.913704,1,0,0
9.008677,1,0,0
9.106034,1,0,0
9.199404,1,0,0
9.295728,1,0,0
9.397035,1,0,0
9.498117,1,0,0
9.601438,0,0,1
9.703770,0,0,1
