labels,F4,F3,Fz,Cz,timestamps
0,-2192.08,-1203.84,-2215.99,-2561.52,-2.0000184263866068
0,-2197.32,-1209.45,-2221.24,-2563.76,-1.9950183803206407
0,-2201.08,-1211.72,-2220.52,-2566.47,-1.9900183342546747
0,-2205.89,-1217.81,-2232.25,-2572.01,-1.9850182881887086
0,-2207.39,-1220.08,-2227.61,-2566.56,-1.980018242122739
0,-2209.89,-1218.61,-2232.52,-2567.49,-1.975018196056773
0,-2216.3,-1219.26,-2228.06,-2574.47,-1.970018149990807
0,-2210.24,-1224.79,-2235.03,-2578.7,-1.9650181039248409
0,-2210.17,-1223.98,-2230.94,-2577.91,-1.9600180578588748
0,-2213.16,-1223.13,-2236.91,-2580.19,-1.9550180117929088
0,-2214.59,-1220.57,-2234.23,-2579.09,-1.9500179657269427
0,-2200.07,-1216.22,-2227.03,-2579.56,-1.9450179196609767
0,-2197.89,-1211.33,-2226.77,-2573.8,-1.940017873595007
0,-2202.36,-1212.02,-2225.73,-2571.84,-1.935017827529041
0,-2200.69,-1213.75,-2225.81,-2572.25,-1.930017781463075
0,-2202.97,-1214.45,-2220.68,-2572.45,-1.925017735397109
0,-2202.43,-1217.49,-2226.86,-2571.44,-1.920017689331143
0,-2195.17,-1215.41,-2225.91,-2566.34,-1.9150176432651769
0,-2196.64,-1205.89,-2216.79,-2563.86,-1.9100175971992108
0,-2202.69,-1213.55,-2221.52,-2566.36,-1.9050175511332412
0,-2206.13,-1218.59,-2225.15,-2574.12,-1.9000175050672752
0,-2200.65,-1216.24,-2219.29,-2566.51,-1.8950174590013091
0,-2190.72,-1212.32,-2212.81,-2565.33,-1.890017412935343
0,-2192.26,-1204.72,-2209.98,-2564.03,-1.885017366869377
0,-2197.45,-1206.97,-2216.57,-2568.8,-1.880017320803411
0,-2199.46,-1212.27,-2217.16,-2558.74,-1.875017274737445
0,-2196.47,-1213.3,-2226.56,-2565.12,-1.870017228671479
0,-2201.4,-1218.38,-2229.52,-2565.94,-1.8650171826055093
0,-2205.08,-1218.64,-2228.86,-2572.6,-1.8600171365395433
0,-2207.78,-1218.61,-2234.99,-2576.83,-1.8550170904735772
0,-2210.81,-1219.91,-2231.39,-2576.24,-1.8500170444076112
0,-2203.69,-1222.29,-2234.92,-2581.39,-1.8450169983416451
0,-2206.19,-1218.18,-2231.55,-2582.83,-1.840016952275679
0,-2213.05,-1228.76,-2234.56,-2584.81,-1.835016906209713
0,-2212.51,-1218.3,-2234.61,-2577.57,-1.8300168601437434
0,-2211.58,-1227.23,-2239.34,-2581.66,-1.8250168140777774
0,-2217.68,-1224.84,-2236.89,-2587.09,-1.8200167680118113
0,-2215.29,-1227.55,-2239.0,-2589.47,-1.8150167219458453
0,-2213.59,-1227.67,-2239.0,-2583.08,-1.8100166758798792
0,-2209.03,-1220.31,-2233.57,-2580.76,-1.8050166298139132
0,-2208.07,-1220.33,-2225.28,-2573.53,-1.8000165837479472
0,-2198.94,-1211.94,-2222.89,-2572.84,-1.795016537681981
0,-2207.14,-1218.25,-2225.66,-2576.43,-1.7900164916160115
0,-2202.59,-1209.82,-2224.22,-2567.7,-1.7850164455500455
0,-2200.2,-1212.9,-2218.47,-2563.56,-1.7800163994840794
0,-2205.89,-1214.87,-2221.56,-2563.0,-1.7750163534181134
0,-2202.58,-1209.16,-2219.32,-2563.12,-1.7700163073521473
0,-2206.82,-1213.26,-2223.96,-2568.36,-1.7650162612861813
0,-2206.61,-1215.6,-2229.06,-2564.74,-1.7600162152202152
0,-2206.19,-1215.08,-2225.03,-2567.69,-1.7550161691542492
0,-2203.92,-1209.73,-2224.47,-2566.6,-1.7500161230882796
0,-2216.18,-1219.69,-2229.64,-2573.87,-1.7450160770223135
0,-2207.03,-1212.72,-2229.98,-2570.89,-1.7400160309563475
0,-2208.13,-1216.55,-2225.94,-2573.68,-1.7350159848903814
0,-2208.14,-1225.12,-2228.99,-2572.85,-1.7300159388244154
0,-2208.34,-1222.32,-2230.03,-2569.68,-1.7250158927584494
0,-2206.03,-1219.21,-2226.66,-2566.33,-1.7200158466924833
0,-2205.36,-1210.03,-2222.5,-2569.14,-1.7150158006265137
0,-2206.52,-1218.04,-2226.62,-2577.28,-1.7100157545605477
0,-2203.28,-1220.24,-2225.19,-2575.23,-1.7050157084945816
0,-2209.44,-1222.53,-2231.79,-2578.8,-1.7000156624286156
0,-2207.6,-1219.0,-2233.23,-2577.71,-1.6950156163626495
0,-2213.08,-1223.0,-2234.47,-2582.55,-1.6900155702966835
0,-2207.95,-1217.95,-2233.99,-2581.14,-1.6850155242307174
0,-2199.51,-1211.88,-2221.99,-2567.97,-1.6800154781647514
0,-2213.23,-1224.28,-2236.89,-2576.23,-1.6750154320987818
0,-2212.75,-1220.66,-2235.99,-2574.8,-1.6700153860328157
0,-2202.4,-1220.53,-2232.55,-2576.48,-1.6650153399668497
0,-2200.93,-1211.25,-2227.2,-2570.78,-1.6600152939008836
0,-2208.83,-1220.58,-2227.18,-2573.57,-1.6550152478349176
0,-2205.74,-1219.92,-2230.59,-2569.83,-1.6500152017689516
0,-2197.84,-1217.44,-2223.56,-2561.96,-1.6450151557029855
0,-2197.08,-1215.92,-2226.47,-2565.63,-1.640015109637016
0,-2200.7,-1213.16,-2222.84,-2561.78,-1.6350150635710499
0,-2205.61,-1211.82,-2226.04,-2562.29,-1.6300150175050838
0,-2202.08,-1210.55,-2226.42,-2558.51,-1.6250149714391178
0,-2196.53,-1210.1,-2219.7,-2565.81,-1.6200149253731517
0,-2194.64,-1203.89,-2218.27,-2561.64,-1.6150148793071857
0,-2194.44,-1207.29,-2223.16,-2564.77,-1.6100148332412196
0,-2194.04,-1212.12,-2216.37,-2566.15,-1.6050147871752536
0,-2196.93,-1211.01,-2218.56,-2569.77,-1.600014741109284
0,-2192.66,-1202.5,-2213.78,-2560.46,-1.595014695043318
0,-2205.2,-1212.41,-2222.86,-2566.9,-1.590014648977352
0,-2199.95,-1215.45,-2223.71,-2567.18,-1.5850146029113859
0,-2200.84,-1209.98,-2219.95,-2568.83,-1.5800145568454198
0,-2196.32,-1205.35,-2214.77,-2563.71,-1.5750145107794538
0,-2190.94,-1201.83,-2214.14,-2560.59,-1.5700144647134877
0,-2190.04,-1209.98,-2220.24,-2563.26,-1.5650144186475217
0,-2195.95,-1215.83,-2226.18,-2566.86,-1.560014372581552
0,-2197.34,-1212.24,-2218.3,-2564.87,-1.555014326515586
0,-2202.12,-1214.57,-2220.45,-2563.9,-1.55001428044962
0,-2199.32,-1213.45,-2222.67,-2562.14,-1.545014234383654
0,-2202.8,-1209.01,-2222.86,-2565.75,-1.5400141883176879
0,-2206.01,-1212.12,-2226.45,-2567.66,-1.5350141422517218
0,-2199.61,-1213.6,-2219.64,-2564.83,-1.5300140961857558
0,-2206.71,-1208.84,-2223.95,-2564.06,-1.5250140501197862
0,-2211.59,-1221.24,-2230.97,-2572.78,-1.5200140040538201
0,-2214.4,-1224.58,-2237.72,-2579.33,-1.515013957987854
0,-2213.02,-1224.36,-2230.15,-2576.87,-1.510013911921888
0,-2214.63,-1228.73,-2233.37,-2572.47,-1.505013865855922
0,-2212.65,-1226.16,-2236.95,-2576.61,-1.500013819789956
0,-2212.61,-1225.16,-2227.3,-2575.85,-1.49501377372399
0,-2210.27,-1218.51,-2231.04,-2577.8,-1.4900137276580239
0,-2210.43,-1208.19,-2229.91,-2576.67,-1.4850136815920543
0,-2210.89,-1214.33,-2227.72,-2577.51,-1.4800136355260882
0,-2209.64,-1222.14,-2232.3,-2574.29,-1.4750135894601222
0,-2209.04,-1223.9,-2230.37,-2571.34,-1.4700135433941561
0,-2202.72,-1222.76,-2231.47,-2569.3,-1.46501349732819
0,-2202.36,-1213.65,-2228.56,-2575.85,-1.460013451262224
0,-2204.02,-1216.05,-2222.21,-2566.23,-1.455013405196258
0,-2201.3,-1218.86,-2224.03,-2567.4,-1.4500133591302884
0,-2205.2,-1218.42,-2223.41,-2570.19,-1.4450133130643223
0,-2202.34,-1214.47,-2227.77,-2569.77,-1.4400132669983563
0,-2204.13,-1218.72,-2227.95,-2565.55,-1.4350132209323903
0,-2207.67,-1220.1,-2229.66,-2565.23,-1.4300131748664242
0,-2205.4,-1217.44,-2228.04,-2570.59,-1.4250131288004582
0,-2207.01,-1218.85,-2225.52,-2567.99,-1.4200130827344921
0,-2206.35,-1214.21,-2226.22,-2562.43,-1.415013036668526
0,-2208.75,-1215.76,-2230.01,-2569.65,-1.4100129906025565
0,-2209.5,-1212.13,-2232.05,-2569.58,-1.4050129445365904
0,-2203.02,-1211.18,-2221.71,-2556.83,-1.4000128984706244
0,-2201.92,-1210.81,-2222.44,-2561.51,-1.3950128524046583
0,-2202.82,-1212.15,-2221.1,-2563.38,-1.3900128063386923
0,-2206.77,-1216.28,-2221.69,-2567.95,-1.3850127602727262
0,-2205.97,-1217.29,-2230.48,-2571.09,-1.3800127142067602
0,-2199.17,-1206.2,-2219.7,-2565.53,-1.3750126681407941
0,-2208.31,-1217.63,-2231.53,-2576.88,-1.3700126220748245
0,-2209.3,-1223.27,-2238.54,-2577.87,-1.3650125760088585
0,-2214.2,-1226.85,-2239.57,-2574.97,-1.3600125299428925
0,-2215.09,-1227.13,-2242.92,-2578.41,-1.3550124838769264
0,-2218.79,-1225.01,-2239.67,-2586.52,-1.3500124378109604
0,-2216.39,-1231.39,-2240.6,-2585.25,-1.3450123917449943
0,-2218.31,-1234.19,-2238.92,-2582.33,-1.3400123456790283
0,-2209.5,-1229.92,-2240.0,-2579.65,-1.3350122996130587
0,-2211.57,-1227.92,-2237.1,-2579.56,-1.3300122535470926
0,-2213.64,-1226.34,-2233.29,-2572.48,-1.3250122074811266
0,-2213.26,-1225.08,-2236.39,-2576.87,-1.3200121614151605
0,-2211.14,-1227.94,-2234.68,-2575.27,-1.3150121153491945
0,-2214.53,-1225.29,-2234.64,-2576.88,-1.3100120692832284
0,-2206.16,-1216.81,-2228.8,-2572.53,-1.3050120232172624
0,-2192.31,-1203.69,-2214.33,-2556.08,-1.3000119771512963
0,-2195.72,-1212.55,-2216.82,-2567.19,-1.2950119310853268
0,-2201.77,-1212.14,-2218.61,-2566.0,-1.2900118850193607
0,-2202.59,-1206.97,-2219.01,-2567.38,-1.2850118389533947
0,-2202.44,-1206.93,-2215.31,-2565.28,-1.2800117928874286
0,-2200.5,-1202.7,-2215.6,-2568.13,-1.2750117468214626
0,-2199.01,-1212.74,-2220.85,-2571.94,-1.2700117007554965
0,-2193.74,-1205.62,-2214.55,-2564.87,-1.2650116546895305
0,-2200.79,-1206.3,-2213.33,-2561.41,-1.2600116086235609
0,-2200.07,-1211.03,-2216.29,-2558.28,-1.2550115625575948
0,-2205.92,-1218.95,-2227.43,-2566.04,-1.2500115164916288
0,-2206.27,-1214.79,-2225.55,-2566.86,-1.2450114704256627
0,-2207.1,-1222.04,-2228.27,-2569.9,-1.2400114243596967
0,-2210.67,-1215.0,-2228.22,-2572.0,-1.2350113782937306
0,-2198.96,-1206.9,-2217.75,-2564.92,-1.2300113322277646
0,-2202.35,-1218.02,-2225.43,-2572.03,-1.2250112861617986
0,-2208.54,-1220.39,-2229.13,-2572.44,-1.220011240095829
0,-2209.57,-1215.41,-2235.24,-2573.26,-1.215011194029863
0,-2211.09,-1220.32,-2235.56,-2579.64,-1.2100111479638969
0,-2212.7,-1223.75,-2237.65,-2580.59,-1.2050111018979308
0,-2204.09,-1217.75,-2229.8,-2576.84,-1.2000110558319648
0,-2200.49,-1211.17,-2227.53,-2568.28,-1.1950110097659987
0,-2201.23,-1210.62,-2221.42,-2568.62,-1.1900109637000327
0,-2200.78,-1211.08,-2221.7,-2565.68,-1.1850109176340666
0,-2200.92,-1208.98,-2214.37,-2558.49,-1.180010871568097
0,-2206.26,-1204.51,-2219.72,-2563.84,-1.175010825502131
0,-2206.89,-1209.92,-2226.64,-2565.69,-1.170010779436165
0,-2197.66,-1206.61,-2218.79,-2567.08,-1.165010733370199
0,-2198.36,-1212.06,-2213.59,-2568.68,-1.1600106873042328
0,-2202.36,-1220.73,-2225.0,-2574.8,-1.1550106412382668
0,-2211.02,-1224.34,-2235.08,-2572.98,-1.1500105951723008
0,-2208.35,-1220.23,-2230.25,-2575.21,-1.1450105491063312
0,-2205.41,-1213.55,-2226.42,-2572.01,-1.140010503040365
0,-2206.87,-1213.08,-2228.65,-2577.29,-1.135010456974399
0,-2210.38,-1213.75,-2231.98,-2579.21,-1.130010410908433
0,-2207.85,-1210.2,-2222.01,-2574.54,-1.125010364842467
0,-2203.34,-1210.14,-2225.27,-2570.22,-1.120010318776501
0,-2203.29,-1208.64,-2225.79,-2570.06,-1.1150102727105349
